[13/Mar/2026 18:33:37] "GET / HTTP/1.1" 404 179
[13/Mar/2026 18:33:37,821] - Broken pipe from ('127.0.0.1', 64875)
[14/Mar/2026 00:28:58] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[14/Mar/2026 00:28:58] "GET /api/home/hero HTTP/1.1" 200 1426
[14/Mar/2026 00:28:58] "GET /api/brands/ HTTP/1.1" 200 872
[14/Mar/2026 00:28:58] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[14/Mar/2026 00:28:58] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[14/Mar/2026 00:28:58] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[14/Mar/2026 00:28:58] "GET /api/auth/me HTTP/1.1" 403 164
[14/Mar/2026 00:28:58] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[14/Mar/2026 00:28:58] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[14/Mar/2026 01:09:33] "GET /api/home/hero HTTP/1.1" 200 1426
[14/Mar/2026 01:09:33] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[14/Mar/2026 01:09:33] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[14/Mar/2026 01:09:33] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[14/Mar/2026 01:09:33] "GET /api/brands/ HTTP/1.1" 200 872
[14/Mar/2026 01:09:33] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[14/Mar/2026 01:09:33] "GET /api/auth/me HTTP/1.1" 403 164
[14/Mar/2026 01:09:33] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[14/Mar/2026 01:09:33] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[14/Mar/2026 01:13:05] "GET /api/home/hero HTTP/1.1" 200 1426
[14/Mar/2026 01:13:05] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[14/Mar/2026 01:13:05] "GET /api/auth/me HTTP/1.1" 403 164
[14/Mar/2026 01:13:05] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[14/Mar/2026 01:13:05] "GET /api/brands/ HTTP/1.1" 200 872
[14/Mar/2026 01:13:05] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[14/Mar/2026 01:13:05] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[14/Mar/2026 01:13:07] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[14/Mar/2026 01:13:07] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[14/Mar/2026 02:04:43] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[14/Mar/2026 02:04:43] "GET /api/auth/me HTTP/1.1" 403 164
[14/Mar/2026 02:04:43] "GET /api/home/hero HTTP/1.1" 200 1426
[14/Mar/2026 02:04:43] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[14/Mar/2026 02:04:43] "GET /api/brands/ HTTP/1.1" 200 872
[14/Mar/2026 02:04:43] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[14/Mar/2026 02:04:43] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[14/Mar/2026 02:04:44] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[14/Mar/2026 02:04:44] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[14/Mar/2026 22:49:18] "GET /api/home/hero HTTP/1.1" 200 1426
[14/Mar/2026 22:49:18] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[14/Mar/2026 22:49:19] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[14/Mar/2026 22:49:19] "GET /api/auth/me HTTP/1.1" 403 164
[14/Mar/2026 22:49:19] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[14/Mar/2026 22:49:19] "GET /api/brands/ HTTP/1.1" 200 872
[14/Mar/2026 22:49:19] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[14/Mar/2026 22:49:22] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[14/Mar/2026 22:49:22] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[14/Mar/2026 22:52:05] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[14/Mar/2026 22:52:05] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[14/Mar/2026 22:52:05] "GET /api/auth/me HTTP/1.1" 403 164
[14/Mar/2026 22:52:05] "GET /api/home/hero HTTP/1.1" 200 1426
[14/Mar/2026 22:52:05] "GET /api/brands/ HTTP/1.1" 200 872
[14/Mar/2026 22:52:05] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[14/Mar/2026 22:52:05] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[14/Mar/2026 22:52:05] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[14/Mar/2026 22:52:05] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[14/Mar/2026 23:12:09] "GET /api/brands/ HTTP/1.1" 200 872
[14/Mar/2026 23:12:29] "GET /api/products/?new=true HTTP/1.1" 200 715126
[15/Mar/2026 00:10:46] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 00:10:47] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[15/Mar/2026 00:10:47] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 00:10:47] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[15/Mar/2026 00:10:47] "GET /api/brands/ HTTP/1.1" 200 872
[15/Mar/2026 00:10:47] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[15/Mar/2026 00:10:47] "GET /api/home/hero HTTP/1.1" 200 1426
[15/Mar/2026 00:10:47] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[15/Mar/2026 00:10:49] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[15/Mar/2026 00:10:49] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[15/Mar/2026 00:26:38] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 01:23:48] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 01:23:48] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[15/Mar/2026 01:23:48] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 01:23:48] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[15/Mar/2026 01:23:48] "GET /api/home/hero HTTP/1.1" 200 1426
[15/Mar/2026 01:23:48] "GET /api/brands/ HTTP/1.1" 200 872
[15/Mar/2026 01:23:48] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[15/Mar/2026 01:23:48] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[15/Mar/2026 01:23:51] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[15/Mar/2026 01:23:51] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[15/Mar/2026 01:24:34] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[15/Mar/2026 01:24:34] "GET /api/brands/ HTTP/1.1" 200 872
[15/Mar/2026 01:24:34] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[15/Mar/2026 01:24:34] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[15/Mar/2026 01:24:34] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 01:24:34] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[15/Mar/2026 01:24:34] "GET /api/home/hero HTTP/1.1" 200 1426
[15/Mar/2026 01:24:34] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[15/Mar/2026 01:24:34] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[15/Mar/2026 11:31:56] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 11:31:56] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[15/Mar/2026 11:31:56] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[15/Mar/2026 11:31:56] "GET /api/home/hero HTTP/1.1" 200 1426
[15/Mar/2026 11:31:56] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[15/Mar/2026 11:31:56] "GET /api/brands/ HTTP/1.1" 200 872
[15/Mar/2026 11:31:56] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[15/Mar/2026 11:31:56] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[15/Mar/2026 11:31:56] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[15/Mar/2026 11:32:16] "GET /api/auth/csrf HTTP/1.1" 200 90
[15/Mar/2026 11:32:16] "POST /api/auth/login HTTP/1.1" 400 146
[15/Mar/2026 11:32:28] "POST /api/auth/login HTTP/1.1" 400 146
[15/Mar/2026 11:32:48] "GET /api/home/hero HTTP/1.1" 200 1426
[15/Mar/2026 11:32:48] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[15/Mar/2026 11:32:48] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[15/Mar/2026 11:32:48] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[15/Mar/2026 21:04:22] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[15/Mar/2026 21:04:22] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 21:04:22] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[15/Mar/2026 21:04:22] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[15/Mar/2026 21:04:22] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[15/Mar/2026 21:04:22] "GET /api/home/hero HTTP/1.1" 200 1426
[15/Mar/2026 21:04:22] "GET /api/brands/ HTTP/1.1" 200 872
[15/Mar/2026 21:04:23] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[15/Mar/2026 21:04:23] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[15/Mar/2026 21:13:17] "GET /api/products/?new=true HTTP/1.1" 200 715126
[15/Mar/2026 21:13:17] "GET /api/brands/ HTTP/1.1" 200 872
[15/Mar/2026 21:13:19] "GET /api/me/offers HTTP/1.1" 403 164
[15/Mar/2026 21:49:58] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 21:50:02] "GET /api/home/hero HTTP/1.1" 200 1426
[15/Mar/2026 21:50:02] "GET /api/brands/ HTTP/1.1" 200 872
[15/Mar/2026 21:50:03] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[15/Mar/2026 21:50:03] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[15/Mar/2026 21:50:03] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[15/Mar/2026 21:50:03] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[15/Mar/2026 21:50:04] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[15/Mar/2026 21:50:04] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[15/Mar/2026 22:05:23] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[15/Mar/2026 22:05:23] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[15/Mar/2026 22:05:23] "GET /api/auth/me HTTP/1.1" 403 164
[15/Mar/2026 22:05:23] "GET /api/home/hero HTTP/1.1" 200 1426
[15/Mar/2026 22:05:23] "GET /api/brands/ HTTP/1.1" 200 872
[15/Mar/2026 22:05:23] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[15/Mar/2026 22:05:23] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[15/Mar/2026 22:05:24] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[15/Mar/2026 22:05:24] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[16/Mar/2026 00:41:21] "GET /api/auth/me HTTP/1.1" 200 148
[16/Mar/2026 00:41:21] "GET /api/home/hero HTTP/1.1" 200 1426
[16/Mar/2026 00:41:22] "GET /api/brands/ HTTP/1.1" 200 872
[16/Mar/2026 00:41:22] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[16/Mar/2026 00:41:22] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[16/Mar/2026 00:41:22] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 200 1477
[16/Mar/2026 00:41:30] "GET /api/me/recommendations/home HTTP/1.1" 200 35353
[16/Mar/2026 00:41:33] "GET /api/me/wishlist HTTP/1.1" 200 32
[16/Mar/2026 00:41:33] "GET /api/me/cart HTTP/1.1" 200 51
[16/Mar/2026 00:48:07] "GET /api/products/?search=Darling HTTP/1.1" 200 2
[16/Mar/2026 00:48:23] "GET /api/home/hero HTTP/1.1" 200 1426
[16/Mar/2026 00:48:23] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 200 1477
[16/Mar/2026 00:48:23] "GET /api/me/recommendations/home HTTP/1.1" 200 35353
[16/Mar/2026 00:48:23] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[16/Mar/2026 00:48:23] "GET /api/brands/ HTTP/1.1" 200 872
[16/Mar/2026 00:48:25] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[16/Mar/2026 00:48:31] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[16/Mar/2026 01:04:56] "GET /api/home/hero HTTP/1.1" 200 1426
[16/Mar/2026 01:04:56] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[16/Mar/2026 01:04:56] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[16/Mar/2026 01:04:56] "GET /api/brands/ HTTP/1.1" 200 872
[16/Mar/2026 01:04:56] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[16/Mar/2026 01:04:56] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[16/Mar/2026 01:04:56] "GET /api/auth/me HTTP/1.1" 403 164
[16/Mar/2026 01:04:59] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[16/Mar/2026 01:05:01] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[16/Mar/2026 01:08:13] "GET /api/home/hero HTTP/1.1" 200 1426
[16/Mar/2026 01:08:13] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[16/Mar/2026 01:08:13] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 200 1477
[16/Mar/2026 01:08:13] "GET /api/auth/me HTTP/1.1" 200 148
[16/Mar/2026 01:08:14] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[16/Mar/2026 01:08:14] "GET /api/brands/ HTTP/1.1" 200 872
[16/Mar/2026 01:08:14] "GET /api/me/recommendations/home HTTP/1.1" 200 35353
[16/Mar/2026 01:08:14] "GET /api/me/wishlist HTTP/1.1" 200 32
[16/Mar/2026 01:08:14] "GET /api/me/cart HTTP/1.1" 200 51
[16/Mar/2026 01:08:14] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[16/Mar/2026 01:08:15] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
[16/Mar/2026 02:12:52] "GET /api/home/hero HTTP/1.1" 200 1426
[16/Mar/2026 02:12:52] "GET /api/auth/me HTTP/1.1" 403 164
[16/Mar/2026 02:12:52] "GET /api/brands/ HTTP/1.1" 200 872
[16/Mar/2026 02:12:52] "GET /api/me/recommendations/home HTTP/1.1" 403 164
[16/Mar/2026 02:12:52] "GET /api/products/?new=true&page=1&page_size=10 HTTP/1.1" 200 6450
[16/Mar/2026 02:12:52] "GET /api/me/home-promotions?limit=6 HTTP/1.1" 403 164
[16/Mar/2026 02:12:52] "GET /api/products/?page=1&page_size=12 HTTP/1.1" 200 7771
[16/Mar/2026 02:12:55] "GET /api/brands/aqualeaf/ HTTP/1.1" 200 422
[16/Mar/2026 02:12:55] "GET /api/products/?brand=AquaLeaf HTTP/1.1" 200 86849
